Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,87.769997,94.940002,85.930000,94.500000,91.955353,85492800
2016-04-01,93.650002,100.000000,93.040001,96.989998,94.378304,85150000
2016-05-01,97.150002,97.940002,94.080002,95.900002,93.505959,58040700
2016-06-01,95.900002,97.989998,87.589996,88.059998,85.861664,99903100
2016-07-01,89.160004,96.500000,86.650002,95.239998,92.862419,100849900
2016-08-01,95.230003,97.190002,94.410004,96.629997,94.421028,64304500
2016-09-01,96.669998,102.309998,96.510002,101.769997,99.443520,81760700
2016-10-01,101.389999,108.930000,99.779999,107.019997,104.573509,79501000
2016-11-01,107.000000,107.139999,100.360001,102.199997,100.051514,89457100
2016-12-01,102.330002,105.709999,99.510002,103.250000,101.079437,73669200
2017-01-01,104.410004,111.070000,104.110001,106.330002,104.094711,68399500
2017-02-01,106.629997,111.000000,104.010002,110.459999,108.361938,62914800
2017-03-01,111.419998,113.500000,110.129997,112.470001,110.333786,65075100
2017-04-01,112.699997,117.370003,111.010002,116.320000,114.110649,50122700
2017-05-01,116.540001,122.980003,115.550003,122.879997,120.783119,72963100
2017-06-01,122.800003,126.190002,119.889999,121.449997,119.377502,73877100
2017-07-01,122.250000,132.199997,120.650002,127.800003,125.619156,64466800
2017-08-01,128.660004,134.500000,127.589996,133.300003,131.264404,57800300
2017-09-01,133.839996,143.589996,131.679993,141.199997,139.043747,75947500
2017-10-01,141.899994,152.000000,141.320007,148.770004,146.498154,72852200
2017-11-01,149.949997,154.649994,145.279999,150.470001,148.401962,70231300
2017-12-01,150.399994,154.649994,140.610001,151.360001,149.279755,66057700
2018-01-01,152.009995,170.809998,151.119995,169.000000,166.677292,68412200
2018-02-01,172.509995,179.169998,156.800003,175.759995,173.617310,96615400
2018-03-01,176.350006,183.729996,168.550003,175.160004,173.024628,81229900
2018-04-01,174.639999,180.000000,167.940002,178.270004,176.096710,82703600
2018-05-01,178.270004,194.720001,176.910004,190.119995,188.069687,80297800
2018-06-01,192.029999,204.000000,191.899994,196.520004,194.400650,67584700
2018-07-01,195.740005,214.279999,194.750000,198.000000,195.864700,72048500
2018-08-01,199.270004,215.860001,197.869995,215.559998,213.503738,61784400
2018-09-01,215.679993,224.360001,209.699997,222.610001,220.486481,60645700
2018-10-01,224.839996,225.350006,183.750000,197.669998,195.784378,126423600
2018-11-01,198.889999,208.860001,177.399994,201.070007,199.382584,92165100
2018-12-01,206.009995,209.910004,171.889999,188.649994,187.066788,100286800
2019-01-01,185.830002,212.970001,180.979996,211.130005,209.358170,90416500
2019-02-01,211.990005,225.600006,211.199997,224.770004,223.268967,62000700
2019-03-01,226.880005,237.080002,215.929993,235.449997,233.877655,65955100
2019-04-01,238.300003,257.429993,233.119995,254.240005,252.542175,65396700
2019-05-01,254.899994,258.859985,239.960007,251.490005,250.159409,85030100
2019-06-01,251.800003,269.850006,240.250000,264.529999,263.130432,76230900
2019-07-01,269.989990,283.329987,264.869995,272.269989,270.829468,62240100
2019-08-01,273.929993,282.959991,253.899994,281.369995,280.221069,76810100
2019-09-01,279.989990,293.690002,266.609985,271.570007,270.461121,78874400
2019-10-01,271.489990,280.440002,258.510010,276.809998,275.679688,79524600
2019-11-01,279.000000,293.000000,268.420013,292.230011,291.390045,61936100
2019-12-01,290.589996,301.529999,281.500000,298.589996,297.731781,57310400
2020-01-01,300.459991,327.089996,296.019989,315.940002,315.031891,81406300
2020-02-01,318.799988,347.250000,273.549988,290.250000,289.801880,106296100
2020-03-01,298.890015,314.589996,199.990005,241.559998,241.187042,213426300
2020-04-01,230.940002,282.869995,227.100006,263.339996,262.933411,53983000
2020-04-13,268.200012,268.700012,255.750000,263.339996,263.339996,6571676
